Census Tract,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6001400100,3120,7.82,66.12,26.06,3.78,74.26,3.43,0,12.53,5.99
6001400200,2007,10.46,66.32,23.22,8.67,73.49,2.59,0.2,8.52,6.53
6001400300,5051,11.42,73.04,15.54,6.95,67.99,9.09,0,12.14,3.84
6001400400,4007,9.38,78.79,11.83,12.1,63.74,6.64,0.87,10.48,6.16
6001400500,4124,9.12,81.96,8.92,9.46,45.44,21.39,0,11.34,12.37
6001400600,1745,9.97,81.43,8.6,7.51,49.28,20.52,0.17,10.54,11.98
6001400700,5128,7.62,82.45,9.93,19.38,38.28,28.24,0,6.42,7.68
6001400800,4069,9.04,81.52,9.44,10.62,43.55,23.27,0.2,15.19,7.18
6001400900,2471,11.17,79.81,9.02,15.82,41.64,28.77,2.47,4.09,7.2
6001401000,6133,9.96,80.61,9.42,18.72,33.44,30.36,0,8.27,9.21
6001401100,4287,8.82,84.7,6.48,10.75,52.39,7.74,0,20.08,9.03
6001401200,2619,8.59,82.44,8.97,12.18,61.02,11.26,0.08,11.49,3.97
6001401300,3921,3.9,81.92,14.18,10.12,38.41,28.51,0.61,16.76,5.59
6001401400,4732,8.09,84.53,7.38,18.96,25.74,31.93,1.54,12.37,9.47
6001401500,2839,4.54,84.71,10.74,14.12,36.91,37.34,0,5.39,6.23
6001401600,2289,6.68,88.16,5.16,20.05,28.66,35.91,0,11.36,4.02
6001401700,3018,12.06,80.22,7.72,26.64,38.87,17.03,0,12.16,5.3
6001401800,1801,10.94,80.07,9,20.27,33.48,38.2,0.22,5.5,2.33
6001402200,2477,11.51,79.09,9.41,16.23,29.87,31.77,1.25,16.35,4.52
6001402400,2866,8.86,74.56,16.57,9.14,24.11,48.39,0,12.98,5.37
6001402500,1781,17.24,72.99,9.77,14.77,10.89,58.39,0,13.31,2.64
6001402600,1243,5.87,68.46,25.66,16.49,14.4,25.91,0.48,38.7,4.02
6001402700,1890,9.68,82.65,7.67,20.58,23.23,42.28,0.63,10.85,2.43
6001402800,4480,5.58,75.27,19.15,6.27,28.19,38.08,0.58,18.57,8.3
6001402900,1406,0.43,71.41,28.17,17.64,21.55,17.14,0.21,37.55,5.9
6001403000,2905,4.68,55.83,39.48,2.27,6.51,4.37,0.34,83.93,2.58
6001403100,2101,5.19,82.67,12.14,13.04,27.84,17.66,0.29,38.41,2.76
6001403300,4178,3.52,75.78,20.7,6.03,26.16,7.47,2.39,52.23,5.72
6001403400,4340,4.26,74.65,21.08,8.18,39.54,19.15,0.44,26.8,5.9
6001403501,4492,7.59,74.93,17.48,12.27,37.47,23.89,0.53,19.46,6.39
6001403502,2044,3.38,83.46,13.16,11.94,42.03,25.44,0,11.11,9.49
6001403600,5570,9.41,80.48,10.11,13.91,29.34,41.24,0.23,9.37,5.91
6001403701,2968,4.14,77.29,18.56,12.2,43.03,26.75,0,12.6,5.42
6001403702,1930,5.54,77.67,16.79,9.79,51.92,15.03,0,17.67,5.6
6001403800,3351,7.67,78.96,13.37,3.58,67.74,12.98,0,11.82,3.88
6001403900,4051,6.74,77.09,16.17,7.43,57.29,13.55,0.22,16.17,5.33
6001404000,2895,5.94,82.28,11.78,16.41,55.2,7.25,1,12.64,7.5
6001404101,3017,3.81,79.52,16.67,7.03,62.18,7.86,0.36,12.6,9.98
6001404102,2653,4.98,62.16,32.87,9.88,66.49,4.71,1.36,12.77,4.79
6001404200,3877,13.95,68.22,17.82,5.6,61.75,6.32,0.21,19.83,6.29
6001404300,3443,13.19,66.8,20.01,12,65.29,1.66,0,13.56,7.49
6001404400,5628,10.41,70.52,19.07,5.31,67,2.33,0.32,12.95,12.08
6001404501,1809,14.7,64.29,21.01,6.69,66.39,6.74,0,12.05,8.13
6001404502,5891,15.02,67.24,17.74,7.62,75.51,1.14,0,10.19,5.55
6001404600,4625,9.84,65.92,24.24,4.82,69.69,3.85,0.17,15.35,6.12
6001404700,2137,13.29,67.52,19.19,9.45,69.58,5.99,0,11.65,3.32
6001404800,2647,8.16,75.82,16.02,14.43,49.38,15.98,0.42,11.07,8.73
6001404900,4197,13.53,66.9,19.56,11.84,56.09,9.6,0.67,16.11,5.69
6001405000,3394,12.93,67.21,19.86,7.4,61.58,11.73,0,10.99,8.31
6001405100,4285,11.23,67.82,20.96,3.43,65.02,13.56,0,10.15,7.84
6001405200,5183,7.1,78.45,14.45,15.84,38.26,8.99,0.29,32.03,4.59
6001405301,2954,8.56,79.49,11.95,18.28,52.64,11.48,0,10.73,6.87
6001405302,2373,5.82,75.94,18.25,8.09,30.76,12.81,0.34,42.31,5.69
6001405401,3648,8.77,79.96,11.27,22.59,20.53,16.23,0,35.01,5.65
6001405402,3357,11.77,80.91,7.33,21.06,17.25,25.8,0.24,30.98,4.68
6001405500,3880,9.33,76.13,14.54,9.28,21.42,22.42,0.7,42.53,3.66
6001405600,3269,7.46,82.56,9.97,24.23,26.49,17.99,2.23,22.24,6.82
6001405700,3531,6.8,84.62,8.58,13.65,14.39,21.16,0.48,46.02,4.3
6001405800,4370,11.33,77.46,11.21,17.05,15.01,21.6,1.3,43.38,1.65
6001405901,4426,15.02,75.98,8.99,41.3,3.68,14.19,1.06,37.4,2.37
6001405902,2942,10.27,76.44,13.29,25.12,8.77,11.96,0.48,49.39,4.28
6001406000,3796,5.45,80.01,14.54,23.6,18.49,13.83,0,41.97,2.11
6001406100,4733,10.61,77.94,11.45,57.24,14.85,8.92,0,18,0.99
6001406201,4995,15.98,77.88,6.15,41.46,5.29,21.14,0.16,28.87,3.08
6001406202,4817,15.8,74.82,9.38,59.89,9.51,14.2,2.1,12.52,1.79
6001406300,4383,15.08,76.75,8.17,33.77,12.62,26.49,0.43,24.21,2.49
6001406400,2545,13.95,63.85,22.2,21.45,31.47,20.67,0.2,19.61,6.6
6001406500,6586,13.45,77.24,9.31,50.47,11.69,16.47,0,16.82,4.54
6001406601,4955,13.3,76.83,9.87,35.6,14.89,20.02,0.16,21.98,7.35
6001406602,2698,12.12,75.76,12.12,28.28,12.6,16.42,1.56,36.25,4.89
6001406700,5159,9.79,67.59,22.62,13.82,45.13,14.5,0.66,20.53,5.37
6001406800,3611,14.07,68.85,17.09,25.31,33.12,11.16,0.44,21.07,8.89
6001406900,3608,11.83,70.57,17.6,10.2,47.03,18.57,0.42,16.77,7.01
6001407000,5869,12.57,73.33,14.09,29.95,13.12,21.03,1.16,24.76,9.98
6001407101,3821,14.81,75.61,9.58,54.23,4.92,13.98,0.21,25.02,1.65
6001407102,4387,17.39,72.83,9.78,44.54,9.92,26.05,0.39,13.93,5.17
6001407200,6985,11.71,79.3,8.99,64.98,9.55,8.45,0.21,13.9,2.91
6001407300,2420,6.28,87.48,6.24,63.72,11.82,10.99,0.12,10.25,3.1
6001407400,4531,16.29,75.86,7.86,70.12,1.77,18.16,0,7.46,2.49
6001407500,4299,13.63,77.62,8.75,55.04,4.16,29.01,0.09,6.59,5.12
6001407600,6327,11.27,80.09,8.65,32.01,16.75,39.07,0,8.31,3.86
