"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Community Re-Entry Center,2003,1,0,0,113,67,180
Alameda Sheriff's Dept.,Santa Rita Jail,2003,1,2569,289,758,124,3740
Amador Sheriff's Dept.,Amador County Jail,2003,1,27,3,41,7,78
Butte Sheriff's Dept.,Butte County Jail,2003,1,291,42,161,18,512
Calaveras Sheriff's Dept.,Calaveras County Jail,2003,1,38,6,31,2,77
Colusa Sheriff's Dept.,Colusa County Jail,2003,1,20,3,21,2,46
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2003,1,0,0,94,0,94
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2003,1,441,56,220,28,745
Contra Costa Sheriff's Dept.,West County Detention Facility ,2003,1,426,85,160,32,703
Del Norte Sheriff's Dept.,Del Norte County Jail,2003,1,84,8,21,10,123
El Dorado Sheriff's Dept.,El Dorado County Jail,2003,1,89,10,92,12,203
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2003,1,43,11,40,4,98
Fresno Sheriff's Dept.,Fresno County Main Jail,2003,1,891,0,68,0,959
Fresno Sheriff's Dept.,Fresno County Satellite Jail,2003,1,0,0,167,0,167
Fresno Sheriff's Dept.,Fresno North Annex Jail,2003,1,982,0,100,0,1082
Fresno Sheriff's Dept.,Fresno South Annex Jail,2003,1,219,246,13,59,537
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2003,1,57,13,33,3,106
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2003,1,205,39,113,15,372
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2003,1,72,0,62,0,134
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2003,1,120,30,86,13,249
Inyo Sheriff's Dept.,Inyo County Jail,2003,1,33,5,38,4,80
Kern Sheriff's Dept.,Central Receiving Facility,2003,1,93,33,22,7,155
Kern Sheriff's Dept.,Lerdo Minimum,2003,1,418,3,423,92,936
