"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2016,1,380,0,24,0,404
Alameda Sheriff's Dept.,Santa Rita Jail,2016,1,1649,186,331,52,2218
Amador Sheriff's Dept.,Amador County Jail,2016,1,42.81,9.03,29.74,8.81,90
Butte Sheriff's Dept.,Butte County Jail,2016,1,294,45,204,33,576
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2016,1,38,9,32,11,90
Colusa Sheriff's Dept.,Colusa County Jail,2016,1,47,6,27,4,84
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2016,1,0,0,60,0,60
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2016,1,531,6,114,2,653
Contra Costa Sheriff's Dept.,West County Detention Facility ,2016,1,324,132,169,40,665
Del Norte Sheriff's Dept.,Del Norte County Jail,2016,1,42,8,42,10,102
El Dorado Sheriff's Dept.,El Dorado County Jail,2016,1,120,27,101,21,269
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2016,1,56,8,57,9,130
Fresno Sheriff's Dept.,Fresno County Main Jail,2016,1,608,15,235,4,862
Fresno Sheriff's Dept.,Fresno North Annex Jail,2016,1,905,0,425,0,1330
Fresno Sheriff's Dept.,Fresno South Annex Jail,2016,1,108,189,32,127,456
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2016,1,38,9,31,12,90
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2016,1,210,38,85,13,346
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2016,1,99,7,1,2,109
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2016,1,186,32,206,29,453
Inyo Sheriff's Dept.,Inyo County Jail,2016,1,23,2,32,13,70
Kern Sheriff's Dept.,Central Receiving Facility,2016,1,92,22,18,5,137
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2016,1,250,0,78,0,328
Kern Sheriff's Dept.,Lerdo Minimum,2016,1,163,26,338,63,590
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2016,1,742,102,276,53,1173
Kings Sheriff's Dept.,Kings County Branch Jail ,2016,1,83,19,7,1,110
Kings Sheriff's Dept.,Kings County Jail Facility,2016,1,271,43,9,1,324
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2016,1,127,22,91,22,262
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2016,1,47.8,6.9,35,14.3,104
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2016,1,0,1142,0,745,1887
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2016,1,2671,0,1562,0,4233
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2016,1,2331,0,1511,0,3842
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2016,1,0,0,58,0,58
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2016,1,866,0,574,0,1440
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2016,1,394,0,885,0,1279
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2016,1,2218,25,940,136,3319
Madera Corrections Dept.,Madera Adult Correctional Fac,2016,1,253,36,71,11,371
Marin Sheriff's Dept.,Marin County Jail,2016,1,202,33,46,22,303
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2016,1,18,5,19,3,45
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2016,1,134,30,102,37,303
Merced Sheriff's Dept.,John Latorraca Correctional Center,2016,1,406,60,20,3,489
Merced Sheriff's Dept.,Merced County Jail ,2016,1,183,4,4,0,191
Modoc Sheriff's Dept.,Modoc County Jail,2016,1,13,3,8,2,26
Mono Sheriff's Dept.,Mono County Jail ,2016,1,17,2,5,2,26
Monterey Sheriff's Dept.,Monterey County Jail ,2016,1,543,62,271,51,927
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2016,1,0,0,0,0,0
Napa Corrections Dept.,Napa County Jail ,2016,1,94,12,40,4,150
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2016,1,120,29,46,10,205
Orange Sheriff's Dept.,Intake Release Center ,2016,1,308,174,85,136,703
Orange Sheriff's Dept.,James A Musick Facilities,2016,1,114,40,405,103,662
Orange Sheriff's Dept.,Orange County Mens Jail ,2016,1,610,0,309,0,919
Orange Sheriff's Dept.,Orange County Women's Jail,2016,1,0,140,0,130,270
Orange Sheriff's Dept.,Theo Lacy,2016,1,1689,0,1583,0,3272
Placer Sheriff's Dept.,Placer County Main Jail ,2016,1,317,43,58,10,428
Placer Sheriff's Dept.,So. Placer Minimum Security,2016,1,6,0,89,0,95
Placer Sheriff's Dept.,South Placer Jail,2016,1,75,3,14,43,135
Plumas Sheriff's Dept.,Plumas County Jail ,2016,1,36.39,8.03,11.1,1.06,57
Riverside Sheriff's Dept.,Blythe Jail ,2016,1,54,0,56,0,110
Riverside Sheriff's Dept.,Indio Jail ,2016,1,226,24,99,25,374
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2016,1,728,119,449,116,1412
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2016,1,411,95,170,50,726
Riverside Sheriff's Dept.,Southwest Detention Center,2016,1,692,2,416,0,1110
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2016,1,691,26,868,138,1723
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2016,1,1491,172,376,64,2103
San Benito Sheriff's Dept.,San Benito Adult Detention ,2016,1,69,8,31,9,117
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2016,1,770,0,125,0,895
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2016,1,339,137,442,107,1025
San Bernardino Sheriff's Dept.,San Bernardino High Desert Detention Center,2016,1,460,163,67,59,749
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2016,1,1902,254,250,40,2446
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2016,1,172,0,516,0,688
San Diego Sheriff's Dept.,George Bailey Detention Facility,2016,1,685,0,811,0,1496
San Diego Sheriff's Dept.,Las Colinas Women's Detention,2016,1,0,329,0,388,717
San Diego Sheriff's Dept.,San Diego Central Detention ,2016,1,633,0,224,0,857
San Diego Sheriff's Dept.,San Diego Facility #8,2016,1,40,0,30,0,70
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2016,1,241,0,157,0,398
San Diego Sheriff's Dept.,Vista Facility ,2016,1,432,53,228,15,728
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2016,1,3,1,186,109,299
San Francisco Sheriff's Dept.,San Francisco County Jail #2,2016,1,100,105,18,19,242
San Francisco Sheriff's Dept.,San Francisco County Jail #3,2016,1,0,0,0,0,0
San Francisco Sheriff's Dept.,San Francisco County Jail #4,2016,1,276,0,49,0,325
San Francisco Sheriff's Dept.,San Francisco County Jail #5,2016,1,569,0,100,0,669
San Francisco Sheriff's Dept.,San Francisco County Jail #6,2016,1,0,0,0,0,0
San Joaquin Sheriff's Dept.,John J. Zunino Facility,2016,1,728,80,120,17,945
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,2016,1,48,4,185,30,267
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,2016,1,165,19,172,19,375
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,2016,1,0,5,45,6,56
San Mateo Sheriff's Dept.,Maguire Correctional Facility,2016,1,461,6,273,4,744
San Mateo Sheriff's Dept.,Minimum Security Transitional Fac.,2016,1,0,0,28,0,28
San Mateo Sheriff's Dept.,Womens Correctional Center ,2016,1,0,51,0,34,85
San Mateo Sheriff's Dept.,Womens Transitional Fac,2016,1,0,0,0,8,8
Santa Ana Police Dept.,Santa Ana Police Facility,2016,1,272,76,0,0,348
Santa Barbara Sheriff's Dept.,Medium Security Facility,2016,1,123,22,79,13,237
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,2016,1,483,73,146,22,724
Santa Barbara Sheriff's Dept.,Santa Maria Branch Jail,2016,1,0,0,0,0,0
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,2016,1,1244,0,596,0,1840
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,2016,1,0,289,0,136,425
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,2016,1,1088,0,158,0,1246
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,2016,1,0,1,0,6,7
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,2016,1,205,20,56,6,287
