,year,month,institution_name,population_felons,civil_addict,total_population,designed_capacity,percent_occupied,staffed_capacity
0,1996,1,VSP (VALLEY SP),2294,0,2294,1980,115.9,1980
1,1996,1,SCC (SIERRA CONSERVATION CENTER),322,0,322,320,100.6,320
2,1996,1,NCWF (NO CAL WOMEN'S FACIL),786,4,790,400,197.5,760
3,1996,1,CCWF (CENTRAL CA WOMEN'S FAC),2846,13,2859,2004,142.7,3224
4,1996,1,"CRC (CAL REHAB CTR, WOMEN)",91,703,794,500,158.8,842
5,1996,1,CIW (CA INSTITUTION FOR WOMEN),1690,36,1726,1026,168.2,1646
6,1996,1,WSP (WASCO SP),4475,62,4537,2484,182.6,4484
7,1996,1,SCC (SIERRA CONSERVATION CENTER),6010,0,6010,3606,166.7,5884
8,1996,1,SRTA (SANTA RITA CO. JAIL-RC),811,0,811,395,205.3,750
9,1996,1,RJD (RJ DONOVAN CORRECTIONAL FAC),4577,0,4577,2200,208.0,4566
10,1996,1,PVSP (PLEASANT VALLEY SP),4080,0,4080,2208,184.8,4008
11,1996,1,PBSP (PELICAN BAY SP),3509,1,3510,2280,153.9,3730
12,1996,1,NKSP (NORTH KERN SP),4525,1,4526,2492,181.6,4472
13,1996,1,MCSP (MULE CREEK SP),3530,0,3530,1700,207.6,3562
14,1996,1,ISP (IRONWOOD SP),3874,0,3874,2200,176.1,4000
15,1996,1,HDSP (HIGH DESERT SP),2364,0,2364,1712,138.1,2224
16,1996,1,FOL (FOLSOM SP) (MALE),3757,0,3757,2064,182.0,3710
17,1996,1,DVI (DEUEL VOCATIONAL INSTITUTION),3480,51,3531,1787,197.6,3396
18,1996,1,CTF (CORRECTIONAL TRAINING FAC),6359,3,6362,2981,213.4,6341
19,1996,1,CVSP (CHUCKAWALLA VALLEY SP),3514,0,3514,1738,202.2,3579
20,1996,1,"SOL (CA SP, SOLANO)",4720,0,4720,2110,223.7,4777
21,1996,1,SQ (SAN QUENTIN SP),5604,63,5667,3136,180.7,5412
22,1996,1,"SAC (CA SP, SACRAMENTO)",3147,0,3147,1728,182.1,3204
23,1996,1,"LAC (CA SP, LOS ANGELES COUNTY)",3978,0,3978,2200,180.8,4000
24,1996,1,"COR (CA SP, CORCORAN)",4997,0,4997,2916,171.4,4978
25,1996,1,CEN (CENTINELA SP),4033,0,4033,2208,182.7,4248
26,1996,1,CAL (CALIPATRIA SP),3941,0,3941,2208,178.5,4008
27,1996,1,"CRC (CAL REHAB CTR, MEN)",1776,2201,3977,1814,219.2,3906
28,1996,1,CMC (CA MEN'S COLONY),6454,1,6455,3884,166.2,6474
29,1996,1,CMF (CA MEDICAL FAC),3081,0,3081,2335,131.9,3339
30,1996,1,CIM (CA INSTITUTION FOR MEN),5800,48,5848,2778,210.5,5971
31,1996,1,CCI (CA CORRECTIONAL INSTITUTION),5718,1,5719,2757,207.4,5728
32,1996,1,CCC (CA CORRECTIONAL CENTER),5865,1,5866,3682,159.3,5637
33,1996,1,ASP (AVENAL SP),5704,0,5704,2320,245.9,5793
34,1996,2,VSP (VALLEY SP),2096,0,2096,1980,105.9,2184
35,1996,2,SCC (SIERRA CONSERVATION CENTER),310,0,310,320,96.9,320
36,1996,2,NCWF (NO CAL WOMEN'S FACIL),787,1,788,400,197.0,760
37,1996,2,CCWF (CENTRAL CA WOMEN'S FAC),3171,20,3191,2004,159.2,2999
38,1996,2,"CRC (CAL REHAB CTR, WOMEN)",100,702,802,500,160.4,842
39,1996,2,CIW (CA INSTITUTION FOR WOMEN),1726,34,1760,1026,171.5,1646
40,1996,2,WSP (WASCO SP),4343,29,4372,2484,176.0,4484
41,1996,2,SCC (SIERRA CONSERVATION CENTER),5912,0,5912,3606,163.9,5884
42,1996,2,SRTA (SANTA RITA CO. JAIL-RC),768,0,768,395,194.4,750
43,1996,2,RJD (RJ DONOVAN CORRECTIONAL FAC),4595,0,4595,2200,208.9,4566
44,1996,2,PVSP (PLEASANT VALLEY SP),4363,0,4363,2208,197.6,4008
45,1996,2,PBSP (PELICAN BAY SP),3418,0,3418,2280,149.9,3615
46,1996,2,NKSP (NORTH KERN SP),4370,3,4373,2492,175.5,4472
47,1996,2,MCSP (MULE CREEK SP),3690,0,3690,1700,217.1,3562
48,1996,2,ISP (IRONWOOD SP),3921,0,3921,2200,178.2,4000
49,1996,2,HDSP (HIGH DESERT SP),2885,1,2886,1712,168.6,2224
50,1996,2,FOL (FOLSOM SP) (MALE),3779,1,3780,2064,183.1,3710
51,1996,2,DVI (DEUEL VOCATIONAL INSTITUTION),3351,29,3380,1787,189.1,3396
52,1996,2,CTF (CORRECTIONAL TRAINING FAC),6456,0,6456,2981,216.6,6341
53,1996,2,CVSP (CHUCKAWALLA VALLEY SP),3488,0,3488,1738,200.7,3579
54,1996,2,"SOL (CA SP, SOLANO)",4804,0,4804,2110,227.7,4777
55,1996,2,SQ (SAN QUENTIN SP),5911,58,5969,3127,190.9,5565
56,1996,2,"SAC (CA SP, SACRAMENTO)",3214,0,3214,1728,186.0,3204
57,1996,2,"LAC (CA SP, LOS ANGELES COUNTY)",3919,0,3919,2200,178.1,4000
58,1996,2,"COR (CA SP, CORCORAN)",4919,1,4920,2916,168.7,4978
59,1996,2,CEN (CENTINELA SP),4170,0,4170,2208,188.9,4248
60,1996,2,CAL (CALIPATRIA SP),3778,0,3778,2208,171.1,4008
61,1996,2,"CRC (CAL REHAB CTR, MEN)",1684,2164,3848,1814,212.1,3906
62,1996,2,CMC (CA MEN'S COLONY),6348,1,6349,3884,163.5,6474
63,1996,2,CMF (CA MEDICAL FAC),3004,0,3004,2335,128.7,3339
64,1996,2,CIM (CA INSTITUTION FOR MEN),5908,52,5960,2778,214.5,5971
65,1996,2,CCI (CA CORRECTIONAL INSTITUTION),5680,2,5682,2757,206.1,5767
66,1996,2,CCC (CA CORRECTIONAL CENTER),5839,1,5840,3682,158.6,5637
67,1996,2,ASP (AVENAL SP),5778,0,5778,2320,249.1,5793
68,1996,3,VSP (VALLEY SP),2326,7,2333,2380,98.0,2584
69,1996,3,SCC (SIERRA CONSERVATION CENTER),327,0,327,320,102.2,320
70,1996,3,NCWF (NO CAL WOMEN'S FACIL),770,1,771,400,192.8,760
71,1996,3,CCWF (CENTRAL CA WOMEN'S FAC),3036,7,3043,2004,151.8,2999
72,1996,3,"CRC (CAL REHAB CTR, WOMEN)",85,676,761,500,152.2,842
73,1996,3,CIW (CA INSTITUTION FOR WOMEN),1735,41,1776,1026,173.1,1646
74,1996,3,WSP (WASCO SP),4429,38,4467,2484,179.8,4484
75,1996,3,SCC (SIERRA CONSERVATION CENTER),5912,0,5912,3606,163.9,5884
76,1996,3,SRTA (SANTA RITA CO. JAIL-RC),685,0,685,395,173.4,750
77,1996,3,RJD (RJ DONOVAN CORRECTIONAL FAC),4575,1,4576,2200,208.0,4566
78,1996,3,PVSP (PLEASANT VALLEY SP),4315,0,4315,2208,195.4,4008
79,1996,3,PBSP (PELICAN BAY SP),3492,0,3492,2280,153.2,3615
80,1996,3,NKSP (NORTH KERN SP),4457,1,4458,2492,178.9,4472
81,1996,3,MCSP (MULE CREEK SP),3634,0,3634,1700,213.8,3562
82,1996,3,ISP (IRONWOOD SP),4058,0,4058,2200,184.5,4000
83,1996,3,HDSP (HIGH DESERT SP),3101,1,3102,1712,181.2,2224
84,1996,3,FOL (FOLSOM SP) (MALE),3837,1,3838,2064,185.9,3710
