year,month,institution_name,population_felons,civil_addict,total_population,designed_capacity,percent_occupied,staffed_capacity,source_pdf_name
1996,01,VSP (VALLEY SP),2294,0,2294,1980,115.9,1980,TPOP1Ad9601.pdf
1996,01,SCC (SIERRA CONSERVATION CENTER),322,0,322,320,100.6,320,TPOP1Ad9601.pdf
1996,01,NCWF (NO CAL WOMEN'S FACIL),786,4,790,400,197.5,760,TPOP1Ad9601.pdf
1996,01,CCWF (CENTRAL CA WOMEN'S FAC),2846,13,2859,2004,142.7,3224,TPOP1Ad9601.pdf
1996,01,"CRC (CAL REHAB CTR, WOMEN)",91,703,794,500,158.8,842,TPOP1Ad9601.pdf
1996,01,CIW (CA INSTITUTION FOR WOMEN),1690,36,1726,1026,168.2,1646,TPOP1Ad9601.pdf
1996,01,WSP (WASCO SP),4475,62,4537,2484,182.6,4484,TPOP1Ad9601.pdf
1996,01,SCC (SIERRA CONSERVATION CENTER),6010,0,6010,3606,166.7,5884,TPOP1Ad9601.pdf
1996,01,SRTA (SANTA RITA CO. JAIL-RC),811,0,811,395,205.3,750,TPOP1Ad9601.pdf
1996,01,RJD (RJ DONOVAN CORRECTIONAL FAC),4577,0,4577,2200,208.0,4566,TPOP1Ad9601.pdf
1996,01,PVSP (PLEASANT VALLEY SP),4080,0,4080,2208,184.8,4008,TPOP1Ad9601.pdf
1996,01,PBSP (PELICAN BAY SP),3509,1,3510,2280,153.9,3730,TPOP1Ad9601.pdf
1996,01,NKSP (NORTH KERN SP),4525,1,4526,2492,181.6,4472,TPOP1Ad9601.pdf
1996,01,MCSP (MULE CREEK SP),3530,0,3530,1700,207.6,3562,TPOP1Ad9601.pdf
1996,01,ISP (IRONWOOD SP),3874,0,3874,2200,176.1,4000,TPOP1Ad9601.pdf
1996,01,HDSP (HIGH DESERT SP),2364,0,2364,1712,138.1,2224,TPOP1Ad9601.pdf
1996,01,FOL (FOLSOM SP) (MALE),3757,0,3757,2064,182.0,3710,TPOP1Ad9601.pdf
1996,01,DVI (DEUEL VOCATIONAL INSTITUTION),3480,51,3531,1787,197.6,3396,TPOP1Ad9601.pdf
1996,01,CTF (CORRECTIONAL TRAINING FAC),6359,3,6362,2981,213.4,6341,TPOP1Ad9601.pdf
1996,01,CVSP (CHUCKAWALLA VALLEY SP),3514,0,3514,1738,202.2,3579,TPOP1Ad9601.pdf
1996,01,"SOL (CA SP, SOLANO)",4720,0,4720,2110,223.7,4777,TPOP1Ad9601.pdf
1996,01,SQ (SAN QUENTIN SP),5604,63,5667,3136,180.7,5412,TPOP1Ad9601.pdf
1996,01,"SAC (CA SP, SACRAMENTO)",3147,0,3147,1728,182.1,3204,TPOP1Ad9601.pdf
1996,01,"LAC (CA SP, LOS ANGELES COUNTY)",3978,0,3978,2200,180.8,4000,TPOP1Ad9601.pdf
1996,01,"COR (CA SP, CORCORAN)",4997,0,4997,2916,171.4,4978,TPOP1Ad9601.pdf
1996,01,CEN (CENTINELA SP),4033,0,4033,2208,182.7,4248,TPOP1Ad9601.pdf
1996,01,CAL (CALIPATRIA SP),3941,0,3941,2208,178.5,4008,TPOP1Ad9601.pdf
1996,01,"CRC (CAL REHAB CTR, MEN)",1776,2201,3977,1814,219.2,3906,TPOP1Ad9601.pdf
1996,01,CMC (CA MEN'S COLONY),6454,1,6455,3884,166.2,6474,TPOP1Ad9601.pdf
1996,01,CMF (CA MEDICAL FAC),3081,0,3081,2335,131.9,3339,TPOP1Ad9601.pdf
1996,01,CIM (CA INSTITUTION FOR MEN),5800,48,5848,2778,210.5,5971,TPOP1Ad9601.pdf
1996,01,CCI (CA CORRECTIONAL INSTITUTION),5718,1,5719,2757,207.4,5728,TPOP1Ad9601.pdf
1996,01,CCC (CA CORRECTIONAL CENTER),5865,1,5866,3682,159.3,5637,TPOP1Ad9601.pdf
1996,01,ASP (AVENAL SP),5704,0,5704,2320,245.9,5793,TPOP1Ad9601.pdf
1996,02,VSP (VALLEY SP),2096,0,2096,1980,105.9,2184,TPOP1Ad9602.pdf
1996,02,SCC (SIERRA CONSERVATION CENTER),310,0,310,320,96.9,320,TPOP1Ad9602.pdf
1996,02,NCWF (NO CAL WOMEN'S FACIL),787,1,788,400,197.0,760,TPOP1Ad9602.pdf
1996,02,CCWF (CENTRAL CA WOMEN'S FAC),3171,20,3191,2004,159.2,2999,TPOP1Ad9602.pdf
1996,02,"CRC (CAL REHAB CTR, WOMEN)",100,702,802,500,160.4,842,TPOP1Ad9602.pdf
1996,02,CIW (CA INSTITUTION FOR WOMEN),1726,34,1760,1026,171.5,1646,TPOP1Ad9602.pdf
